Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
87,98.28571,5.73E-05,0.0145123,8,700,10,0.0068680644,0.4004546,0.80975115,0.94147986,69302,46
84,95.93496,3.88E-05,0.0080764,8,615,12,0.0035268343,0.48441038,0.8809129,0.9015165,47619,34
86,98.8006,3.99E-05,0.0130422,10,667,10,0.005948154,0.5086981,0.8651892,0.96445006,20353,35
90,96.51972,4.3E-05,0.0076102,6,862,22,0.0044725523,0.59135395,0.8157196,0.9310907,6218,42
90,98.11644,4.34E-05,0.0080298,7,584,11,0.005547877,0.44442248,0.89561725,0.89924973,78921,39
90,94.99478,4.9E-05,0.0121951,10,959,26,0.0040896717,0.40171707,0.85312724,0.813638,3074,41
89,97.869316,3.26E-05,0.0078722,9,704,17,0.0050274157,0.50816447,0.88031006,0.9174526,54455,33
90,96.57065,6.64E-05,0.0112719,9,729,21,0.0069824494,0.41387418,0.815159,0.96835315,42612,46
88,96.75324,6.38E-05,0.0074804,6,770,24,0.005709073,0.4282876,0.8730026,0.9086422,24632,45
88,98.93899,3.73E-05,0.0119277,10,754,11,0.0063344776,0.58006364,0.8510619,0.89279103,24474,33
86,97.215775,3.79E-05,0.0154245,8,862,10,0.005207278,0.4487716,0.80614585,0.84020394,90778,48
87,92.545715,6.82E-05,0.0086556,7,711,23,0.004025056,0.47175974,0.8302975,0.98907703,97576,46
87,92.39374,3.56E-05,0.0103265,6,894,10,0.0032808504,0.32515505,0.89779353,0.80586255,26077,36
88,94.4993,6.6E-05,0.0066689,7,709,23,0.0057428917,0.43917188,0.8254507,0.8225458,53212,43
84,92.52802,4.42E-05,0.0082012,6,803,15,0.0044944696,0.3185225,0.80829287,0.93943876,84652,31
83,93.20113,4.55E-05,0.0072503,7,706,23,0.005215125,0.32263014,0.8516424,0.95722187,46467,48
87,95.71788,3.64E-05,0.0094303,8,794,22,0.004155285,0.30631244,0.8824714,0.8719521,99227,48
88,91.09948,3.57E-05,0.0087969,9,955,29,0.0036990193,0.31513515,0.80169547,0.92569757,75413,33
90,94.84536,4.91E-05,0.0066232,6,776,27,0.0061727436,0.38438374,0.8930782,0.90965885,197,43
89,97.505936,3.15E-05,0.0072676,8,842,19,0.0040340456,0.58081037,0.82691336,0.8093663,1261,33
89,94.729904,7.21E-05,0.0111165,8,759,24,0.0046735737,0.30389357,0.888425,0.9472016,92434,47
88,93.58437,3.65E-05,0.0085027,9,717,19,0.0031066595,0.3875008,0.8677013,0.8991968,14273,35
86,95.97403,5.1E-05,0.009602,10,770,29,0.005723309,0.47273308,0.8040396,0.9360396,46894,39
83,90.28872,5.32E-05,0.0087019,6,762,24,0.0034629323,0.3900484,0.8401652,0.904426,55723,45
90,96.38854,3.39E-05,0.0120461,10,803,16,0.003274921,0.5755024,0.8159555,0.93315697,41552,35
87,93.141945,3.58E-05,0.0072987,8,627,17,0.0031801262,0.41597652,0.86941665,0.9287944,65356,37
88,91.80151,6.82E-05,0.0109361,6,927,16,0.0033503263,0.34530306,0.8733322,0.8930812,70336,44
91,97.766495,4.07E-05,0.0112179,9,985,16,0.005186486,0.57002676,0.8953861,0.89614254,94923,33
